OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.737632,-121.958463,7/15/16
1,47.654164,-122.054583,7/16/16
1,47.6815336,-122.2505453,7/13/16
4,47.5063597,-121.7896271,7/18/16
2,47.159631,-121.908856,7/22/16
1,47.5597558,-122.0549817,7/6/16
1,47.5597558,-122.0549817,7/5/16
2,47.6881,-122.256142,7/25/16
1,47.6837656,-121.954937,7/7/16
3,47.662576,-122.12052,7/7/16
1,47.5617243,-122.1090177,7/27/16
1,47.6815336,-122.2505453,7/8/16
3,47.662576,-122.12052,7/7/16
3,47.662576,-122.12052,7/7/16
1,47.5597558,-122.0549817,7/8/16
2,47.6981686,-122.2101878,7/8/16
2,47.6404972,-121.9264226,7/31/16
1,47.6941367,-122.0490503,7/21/16
2,47.6404972,-121.9264226,7/31/16
2,47.4154564,-121.4395666,8/17/16
1,47.663868,-122.4215317,8/24/16
2,47.6881,-122.256142,8/15/16
1,47.4108255,-121.4284945,8/16/16
1,47.4108255,-121.4284945,8/16/16
2,47.6981686,-122.2101878,8/6/16
5,47.663868,-122.4215317,8/6/16
5,47.663868,-122.4215317,8/6/16
1,47.421899,-121.4492655,8/21/16
1,47.421899,-121.4492655,8/21/16
3,47.6873348,-122.0818377,8/21/16
